,state,county,county_state_name,above_US_median_income,graduate_attainment_pct,health_insurance_pct,below_poverty_lvl_pct,occupied_houses_pct,no_vehicles_hh_pct,pop_over_18_pct
2163,39,053,"Gallia County, Ohio",0,7.5,90.5,11.2,81.7,6.9,77.0
2164,39,057,"Greene County, Ohio",1,19.0,95.7,7.1,93.1,4.6,79.4
2165,39,059,"Guernsey County, Ohio",0,5.5,90.5,13.5,84.0,7.2,78.0
2166,39,063,"Hancock County, Ohio",0,10.4,95.8,6.2,93.1,5.9,77.8
2167,39,065,"Hardin County, Ohio",0,6.1,90.4,9.9,89.1,6.0,77.6
2168,39,069,"Henry County, Ohio",0,6.0,95.0,6.6,91.3,3.3,76.7
2169,39,073,"Hocking County, Ohio",0,4.5,95.1,9.2,85.8,4.0,78.2
2170,39,075,"Holmes County, Ohio",0,3.3,58.2,7.1,90.9,30.5,68.8
2171,39,079,"Jackson County, Ohio",0,4.6,93.4,11.9,87.0,5.9,76.3
2172,39,081,"Jefferson County, Ohio",0,6.2,95.0,12.3,84.9,9.9,80.8
2173,39,085,"Lake County, Ohio",1,10.5,95.1,5.0,93.5,4.3,80.0
2174,39,087,"Lawrence County, Ohio",0,5.2,95.3,15.7,84.3,6.4,78.0
2175,39,091,"Logan County, Ohio",0,5.7,95.0,7.6,79.3,4.7,76.9
2176,39,093,"Lorain County, Ohio",0,9.3,94.5,9.8,92.2,6.3,78.0
2177,39,097,"Madison County, Ohio",1,5.8,93.7,6.1,93.0,3.5,79.5
2178,39,101,"Marion County, Ohio",0,4.5,94.6,8.9,88.3,7.9,78.9
2179,39,103,"Medina County, Ohio",1,11.5,96.4,3.8,95.6,3.5,77.7
2180,39,107,"Mercer County, Ohio",1,6.8,96.3,3.6,88.7,3.2,74.3
2181,39,109,"Miami County, Ohio",0,8.4,94.9,5.0,92.9,4.5,76.9
2182,39,113,"Montgomery County, Ohio",0,10.9,93.4,11.8,89.1,9.4,77.9
2183,39,115,"Morgan County, Ohio",0,3.5,93.9,14.2,75.8,6.6,79.1
2184,39,119,"Muskingum County, Ohio",0,6.7,94.3,11.7,89.1,6.3,77.3
2185,06,093,"Siskiyou County, California",0,7.7,93.6,10.6,79.4,6.2,79.8
2186,06,099,"Stanislaus County, California",0,5.4,94.4,10.4,95.9,5.7,72.9
2187,06,105,"Trinity County, California",0,6.6,89.6,16.0,66.3,6.8,82.8
2188,06,111,"Ventura County, California",1,12.3,91.6,6.1,93.9,4.3,77.1
2189,05,001,"Arkansas County, Arkansas",0,5.6,94.7,11.4,78.1,8.1,77.1
2190,05,007,"Benton County, Arkansas",1,11.4,91.3,6.7,91.6,2.9,73.7
2191,05,011,"Bradley County, Arkansas",0,3.7,89.2,10.4,72.8,8.5,75.8
2192,05,017,"Chicot County, Arkansas",0,4.5,89.4,17.9,74.6,13.4,77.9
2193,05,023,"Cleburne County, Arkansas",0,6.3,92.4,10.1,67.4,3.1,81.0
2194,05,029,"Conway County, Arkansas",0,4.3,94.3,15.5,86.1,8.3,77.2
2195,05,033,"Crawford County, Arkansas",0,5.3,91.6,12.0,89.3,4.1,75.5
2196,05,039,"Dallas County, Arkansas",0,1.9,92.3,9.6,68.8,10.0,78.7
2197,05,045,"Faulkner County, Arkansas",0,12.2,91.7,10.2,89.8,4.6,76.9
2198,05,051,"Garland County, Arkansas",0,7.6,89.9,11.2,80.2,7.4,79.9
2199,05,055,"Greene County, Arkansas",0,5.6,92.6,13.6,91.7,4.0,75.6
